timestamp,sensorId,kalmanMs,differentiatorMs,dspPipelineMs,totalMs
2026-01-14T10:01:38.607Z,010-20081219114010,0.177,0.005,0.087,0.272
2026-01-14T10:01:50.550Z,010-20081219114010,0.156,0.004,0.070,0.231
2026-01-14T10:02:03.387Z,010-20081219114010,0.168,0.004,0.075,0.248
2026-01-14T10:02:17.115Z,010-20081219114010,0.197,0.004,0.105,0.308
2026-01-14T10:02:29.070Z,010-20081219114010,0.206,0.005,0.107,0.319
2026-01-14T10:02:42.708Z,010-20081219114010,0.199,0.005,0.104,0.309
2026-01-14T10:02:55.064Z,010-20081219114010,0.214,0.005,0.094,0.314
2026-01-14T10:03:07.041Z,010-20081219114010,0.212,0.005,0.113,0.330
2026-01-14T10:03:20.014Z,010-20081219114010,0.173,0.004,0.085,0.264
2026-01-14T10:03:34.225Z,010-20081219114010,0.212,0.005,0.090,0.308
2026-01-14T10:03:46.971Z,010-20081219114010,0.180,0.004,0.092,0.277
2026-01-14T10:03:59.726Z,010-20081219114010,0.179,0.004,0.080,0.264
2026-01-14T10:04:13.586Z,010-20081219114010,0.204,0.004,0.080,0.289
2026-01-14T10:04:26.530Z,010-20081219114010,0.173,0.004,0.084,0.263
2026-01-14T10:04:38.508Z,010-20081219114010,0.189,0.005,0.084,0.279
2026-01-14T10:04:50.462Z,010-20081219114010,0.156,0.004,0.069,0.230
2026-01-14T10:05:02.431Z,010-20081219114010,0.163,0.004,0.074,0.243
2026-01-14T10:05:14.393Z,010-20081219114010,0.189,0.005,0.085,0.280
2026-01-14T10:05:27.258Z,010-20081219114010,0.188,0.005,0.088,0.283
2026-01-14T10:05:39.205Z,010-20081219114010,0.191,0.005,0.092,0.290
2026-01-14T10:05:52.548Z,010-20081219114010,0.185,0.005,0.087,0.278
2026-01-14T10:06:05.406Z,010-20081219114010,0.175,0.005,0.080,0.261
2026-01-14T10:06:17.381Z,010-20081219114010,0.197,0.005,0.084,0.287
2026-01-14T10:06:30.287Z,010-20081219114010,0.197,0.005,0.089,0.292
2026-01-14T10:06:45.150Z,010-20081219114010,0.166,0.004,0.075,0.247
2026-01-14T10:06:58.006Z,010-20081219114010,0.200,0.001,0.092,0.294
2026-01-14T10:07:14.955Z,010-20081219114010,0.174,0.001,0.081,0.257
2026-01-14T10:07:27.109Z,010-20081219114010,0.166,0.001,0.075,0.242
2026-01-14T10:07:40.064Z,010-20081219114010,0.167,0.001,0.078,0.247
2026-01-14T10:07:53.255Z,010-20081219114010,0.165,0.001,0.075,0.242
2026-01-14T10:08:06.167Z,010-20081219114010,0.165,0.001,0.076,0.242
2026-01-14T10:08:18.172Z,010-20081219114010,0.162,0.001,0.075,0.238
2026-01-14T10:08:30.174Z,010-20081219114010,0.168,0.001,0.073,0.242
2026-01-14T10:08:42.222Z,010-20081219114010,0.169,0.001,0.078,0.248
2026-01-14T10:08:54.239Z,010-20081219114010,0.161,0.001,0.074,0.236
2026-01-14T10:09:06.270Z,010-20081219114010,0.167,0.001,0.078,0.246
2026-01-14T10:09:19.292Z,010-20081219114010,0.167,0.001,0.080,0.248
2026-01-14T10:09:31.337Z,010-20081219114010,0.186,0.001,0.091,0.279
2026-01-14T10:09:43.357Z,010-20081219114010,0.178,0.001,0.085,0.265
2026-01-14T10:09:55.374Z,010-20081219114010,0.164,0.001,0.075,0.241
2026-01-14T10:10:07.472Z,010-20081219114010,0.191,0.001,0.089,0.281
2026-01-14T10:10:19.502Z,010-20081219114010,0.170,0.001,0.074,0.246
2026-01-14T10:10:31.613Z,010-20081219114010,0.165,0.001,0.072,0.239
2026-01-14T10:10:43.610Z,010-20081219114010,0.168,0.001,0.075,0.245
2026-01-14T10:10:55.586Z,010-20081219114010,0.161,0.001,0.072,0.235
2026-01-14T10:11:07.551Z,010-20081219114010,0.164,0.001,0.072,0.238
2026-01-14T10:11:19.531Z,010-20081219114010,0.159,0.001,0.072,0.233
2026-01-14T10:11:31.544Z,010-20081219114010,0.176,0.001,0.092,0.270
2026-01-14T10:11:43.580Z,010-20081219114010,0.161,0.001,0.072,0.234
2026-01-14T10:11:55.591Z,010-20081219114010,0.165,0.001,0.076,0.244
2026-01-14T10:12:07.633Z,010-20081219114010,0.167,0.001,0.075,0.244
2026-01-14T10:12:19.781Z,010-20081219114010,0.162,0.001,0.075,0.239
2026-01-14T10:12:31.854Z,010-20081219114010,0.166,0.001,0.075,0.243
2026-01-14T10:12:43.901Z,010-20081219114010,0.166,0.001,0.074,0.241
2026-01-14T10:12:55.966Z,010-20081219114010,0.164,0.001,0.076,0.241
2026-01-14T10:13:08.002Z,010-20081219114010,0.166,0.001,0.073,0.241
2026-01-14T10:13:20.052Z,010-20081219114010,0.160,0.001,0.071,0.232
2026-01-14T10:13:32.128Z,010-20081219114010,0.169,0.001,0.081,0.252
2026-01-14T10:13:44.158Z,010-20081219114010,0.180,0.001,0.074,0.256
2026-01-14T10:13:56.214Z,010-20081219114010,0.163,0.001,0.072,0.237
2026-01-14T10:14:08.343Z,010-20081219114010,0.169,0.001,0.075,0.245
2026-01-14T10:14:20.381Z,010-20081219114010,0.163,0.001,0.072,0.236
2026-01-14T10:14:32.436Z,010-20081219114010,0.172,0.001,0.075,0.250
2026-01-14T10:14:44.465Z,010-20081219114010,0.164,0.001,0.072,0.238
2026-01-14T10:14:56.498Z,010-20081219114010,0.163,0.001,0.072,0.237
2026-01-14T10:15:08.552Z,010-20081219114010,0.163,0.001,0.072,0.237
2026-01-14T10:15:20.588Z,010-20081219114010,0.163,0.001,0.071,0.236
2026-01-14T10:15:32.682Z,010-20081219114010,0.176,0.001,0.077,0.255
2026-01-14T10:15:44.761Z,010-20081219114010,0.164,0.001,0.074,0.240
2026-01-14T10:15:56.916Z,010-20081219114010,0.166,0.001,0.073,0.241
2026-01-14T10:16:08.972Z,010-20081219114010,0.168,0.001,0.074,0.244
2026-01-14T10:16:21.008Z,010-20081219114010,0.160,0.001,0.070,0.232
2026-01-14T10:16:33.084Z,010-20081219114010,0.169,0.001,0.075,0.245
2026-01-14T10:16:45.156Z,010-20081219114010,0.162,0.001,0.071,0.235
2026-01-14T10:16:57.209Z,010-20081219114010,0.160,0.001,0.071,0.232
2026-01-14T10:17:09.270Z,010-20081219114010,0.164,0.001,0.073,0.239
2026-01-14T10:17:21.325Z,010-20081219114010,0.162,0.001,0.072,0.236
2026-01-14T10:17:33.391Z,010-20081219114010,0.168,0.001,0.074,0.244
2026-01-14T10:17:45.542Z,010-20081219114010,0.164,0.001,0.071,0.236
2026-01-14T10:17:57.624Z,010-20081219114010,0.168,0.001,0.073,0.243
2026-01-14T10:18:09.668Z,010-20081219114010,0.164,0.001,0.072,0.238
2026-01-14T10:18:21.716Z,010-20081219114010,0.160,0.001,0.070,0.231
2026-01-14T10:18:33.782Z,010-20081219114010,0.166,0.001,0.075,0.242
2026-01-14T10:18:45.861Z,010-20081219114010,0.160,0.001,0.071,0.232
2026-01-14T10:18:57.905Z,010-20081219114010,0.169,0.001,0.073,0.244
2026-01-14T10:19:09.950Z,010-20081219114010,0.165,0.001,0.072,0.239
2026-01-14T10:19:22.015Z,010-20081219114010,0.157,0.001,0.070,0.229
2026-01-14T10:19:34.175Z,010-20081219114010,0.170,0.001,0.074,0.246
2026-01-14T10:19:46.213Z,010-20081219114010,0.162,0.001,0.071,0.235
